Tract Number,Mean Age,Latitude,Longitude,GEOID
101110,44.3,34.2595555,-118.293602,1400000US06037101110
101122,52.2,34.267357,-118.29024,1400000US06037101122
101220,42.2,34.251998,-118.2926875,1400000US06037101210
101221,40.5,34.2511895,-118.281014,1400000US06037101220
101222,39.3,34.2455945,-118.271731,1400000US06037101300
1013,52.6,34.244255,-118.296428,1400000US06037101400
1014,46.9,34.224155,-118.354339,1400000US06037102103
102103,37.7,34.216189,-118.3456235,1400000US06037102104
102104,45.8,34.210852,-118.3480495,1400000US06037102105
102105,42.2,34.2412955,-118.3292705,1400000US06037102107
102107,42.8,34.274431,-118.30714,1400000US06037103101
103101,41.4,34.262834,-118.30683,1400000US06037103102
103102,45.1,34.2745565,-118.3439025,1400000US06037103200
103201,46.2,34.255439,-118.3527775,1400000US06037103300
103202,48.8,34.253933,-118.3147245,1400000US06037103400
1033,46.9,34.2819045,-118.3918905,1400000US06037104103
103401,49.1,34.276146,-118.404645,1400000US06037104105
103402,45.4,34.271671,-118.397614,1400000US06037104108
104103,35.3,34.287866,-118.376208,1400000US06037104124
104105,34.5,34.2867415,-118.4160805,1400000US06037104201
104108,33.4,34.279058,-118.411554,1400000US06037104203
104124,42,34.2886315,-118.396898,1400000US06037104204
104201,34.1,34.2762555,-118.4293915,1400000US06037104310
104203,34.3,34.27316,-118.4202235,1400000US06037104320
104204,33.9,34.2670615,-118.433071,1400000US06037104401
104310,32.4,34.2589085,-118.4345385,1400000US06037104403
104321,36.9,34.2639205,-118.4286915,1400000US06037104404
104322,34.8,34.25551,-118.4257485,1400000US06037104500
104401,32.4,34.2604335,-118.4189955,1400000US06037104610
104403,35.7,34.2579045,-118.422465,1400000US06037104620
104404,31.8,34.268476,-118.4152165,1400000US06037104701
1045,31.8,34.2551165,-118.399872,1400000US06037104703
104610,33.2,34.2625155,-118.4088415,1400000US06037104704
104620,31.1,34.2502955,-118.411179,1400000US06037104810
104701,28.9,34.2465705,-118.416294,1400000US06037104821
104703,30.7,34.245882,-118.4209225,1400000US06037104822
104704,30,34.3231715,-118.444538,1400000US06037106010
104821,32.7,34.320427,-118.428524,1400000US06037106020
104822,34.9,34.3231945,-118.4087995,1400000US06037106111
104823,35.1,34.305005,-118.414298,1400000US06037106112
104824,35.9,34.3062,-118.42203,1400000US06037106113
106010,37.7,34.302675,-118.426951,1400000US06037106114
106020,39.4,34.306005,-118.441288,1400000US06037106403
106111,40.5,34.3146865,-118.448309,1400000US06037106405
106112,39,34.321542,-118.4587415,1400000US06037106406
106113,40.5,34.3105765,-118.4365505,1400000US06037106407
106114,32.2,34.3132585,-118.440082,1400000US06037106408
106403,38.5,34.3236325,-118.4860245,1400000US06037106510
106405,39,34.308856,-118.4613605,1400000US06037106520
106406,36.1,34.3189225,-118.5218285,1400000US06037106603
106407,37.2,34.3042795,-118.474247,1400000US06037106604
106408,27.5,34.298025,-118.509153,1400000US06037106641
106510,36.5,34.2863475,-118.5084525,1400000US06037106642
106520,33.6,34.289784,-118.524711,1400000US06037106643
106603,44.4,34.2905125,-118.4928915,1400000US06037106645
106604,39.3,34.2790905,-118.4941245,1400000US06037106646
106641,42.9,34.293406,-118.4556035,1400000US06037106648
106642,46.7,34.288747,-118.4611105,1400000US06037106649
106643,50.2,34.302027,-118.446501,1400000US06037107010
106645,47.8,34.2975345,-118.4503905,1400000US06037107020
106646,50.2,34.280038,-118.5413715,1400000US06037108101
106648,30.9,34.280795,-118.55492,1400000US06037108102
106649,39.9,34.2860705,-118.542893,1400000US06037108103
107010,33.2,34.2939525,-118.5470515,1400000US06037108104
107020,28.8,34.2857885,-118.562083,1400000US06037108201
108101,50,34.288396,-118.581814,1400000US06037108202
108102,51,34.278731,-118.4610295,1400000US06037109100
108103,47.3,34.2786785,-118.474608,1400000US06037109200
108104,46,34.272521,-118.479515,1400000US06037109300
108202,41.6,34.269881,-118.4552825,1400000US06037109400
108203,50,34.274036,-118.4444575,1400000US06037109500
108204,43.3,34.2451855,-118.6125745,1400000US06037113237
1091,47.7,34.2582765,-118.450367,1400000US06037109601
1092,40.2,34.2536515,-118.465415,1400000US06037109603
1093,44.2,34.2615535,-118.465347,1400000US06037109604
1094,40.1,34.263394,-118.4810215,1400000US06037109700
1095,31.3,34.2537535,-118.481817,1400000US06037109800
109601,40.1,34.2683575,-118.4946735,1400000US06037111100
109603,34.6,34.275029,-118.50855,1400000US06037111201
109604,35.9,34.2683485,-118.5151565,1400000US06037111202
1097,36.9,34.2620495,-118.5490485,1400000US06037111204
1098,42.3,34.253636,-118.5358265,1400000US06037111205
1111,40.6,34.2676425,-118.5361955,1400000US06037111206
111201,41.6,34.2610855,-118.5158815,1400000US06037111301
111202,42.9,34.2539425,-118.512829,1400000US06037111302
111204,50.5,34.257483,-118.495412,1400000US06037111400
111205,34.9,34.265338,-118.5882575,1400000US06037113101
111206,48.1,34.265325,-118.568068,1400000US06037113102
111302,41.9,34.2635755,-118.611966,1400000US06037113211
111303,40.1,34.2608605,-118.6035245,1400000US06037113212
111304,33.9,34.2535965,-118.608218,1400000US06037113213
111401,40.5,34.2282065,-118.645614,1400000US06037113231
111402,41.2,34.227417,-118.61402,1400000US06037113232
113101,52.9,34.2275575,-118.6017175,1400000US06037113233
113102,50.3,34.227624,-118.59227,1400000US06037113234
113211,48.1,34.2373915,-118.6488335,1400000US06037113235
113212,44.2,34.2448005,-118.5590895,1400000US06037113301
113213,40.3,34.2420235,-118.5801645,1400000US06037113303
113231,51,34.25361,-118.5913535,1400000US06037113321
113232,47.8,34.253622,-118.571362,1400000US06037113322
113234,37.1,34.2279845,-118.562301,1400000US06037113401
113235,42,34.234694,-118.5826685,1400000US06037113421
113237,43.2,34.224085,-118.5821745,1400000US06037113422
113238,37.5,34.239435,-118.5112365,1400000US06037115101
113239,31.4,34.246414,-118.528551,1400000US06037115103
113301,37.6,34.2395005,-118.523595,1400000US06037115104
113303,45.7,34.244559,-118.537408,1400000US06037115201
113322,44.9,34.2338575,-118.537507,1400000US06037115202
113323,35.6,34.240482,-118.545339,1400000US06037115301
113324,31.5,34.226401,-118.5498615,1400000US06037115302
113423,35.5,34.2247565,-118.5149735,1400000US06037115401
113424,38.8,34.22481,-118.5317135,1400000US06037115403
113425,31.4,34.2257645,-118.5412445,1400000US06037115404
113426,40,34.2391215,-118.4617905,1400000US06037117101
113427,42.3,34.2463715,-118.4596495,1400000US06037117102
113428,34.5,34.242798,-118.470143,1400000US06037117201
115101,51.3,34.242857,-118.478624,1400000US06037117202
115103,19.8,34.242917,-118.4905265,1400000US06037117301
115104,27.1,34.235472,-118.49709,1400000US06037117302
115202,32.6,34.2281815,-118.4920695,1400000US06037117303
115203,37.4,34.228481,-118.479066,1400000US06037117404
115204,35.2,34.2337315,-118.4702305,1400000US06037117405
115301,42.8,34.2300885,-118.470266,1400000US06037117407
115302,36.2,34.2248485,-118.4703675,1400000US06037117408
115401,36.7,34.2336865,-118.462625,1400000US06037117510
115403,33.2,34.230017,-118.4631875,1400000US06037117520
115404,34,34.224845,-118.4634755,1400000US06037117530
117101,35.4,34.232289,-118.4180405,1400000US06037119001
117102,42.5,34.245902,-118.428032,1400000US06037119002
117201,26.2,34.246411,-118.441015,1400000US06037119201
117202,44,34.2559555,-118.442705,1400000US06037119202
117301,41,34.246626,-118.450697,1400000US06037119310
117302,40.8,34.239058,-118.453982,1400000US06037119320
117303,38,34.2336085,-118.4518995,1400000US06037119340
117404,39.3,34.237627,-118.4453355,1400000US06037119341
117405,26,34.240834,-118.4468745,1400000US06037119342
117407,29,34.2399345,-118.4355265,1400000US06037119400
117408,29,34.219334,-118.4266115,1400000US06037119700
117510,30.4,34.2337665,-118.429943,1400000US06037119800
